epoch 5 [1160/1668], valid loss: 33.90
epoch 5 [1180/1668], valid loss: 34.12
epoch 5 [1200/1668], valid loss: 34.58
epoch 5 [1220/1668], valid loss: 34.58
epoch 5 [1240/1668], valid loss: 34.82
epoch 5 [1260/1668], valid loss: 34.17
epoch 5 [1280/1668], valid loss: 33.36
epoch 5 [1300/1668], valid loss: 32.84
epoch 5 [1320/1668], valid loss: 32.99
epoch 5 [1340/1668], valid loss: 32.99
epoch 5 [1360/1668], valid loss: 33.15
epoch 5 [1380/1668], valid loss: 33.72
epoch 5 [1400/1668], valid loss: 34.54
epoch 5 [1420/1668], valid loss: 34.74
epoch 5 [1440/1668], valid loss: 34.82
epoch 5 [1460/1668], valid loss: 34.57
epoch 5 [1480/1668], valid loss: 34.88
epoch 5 [1500/1668], valid loss: 35.05
epoch 5 [1520/1668], valid loss: 34.66
epoch 5 [1540/1668], valid loss: 34.79
epoch 5 [1560/1668], valid loss: 34.32
epoch 5 [1580/1668], valid loss: 34.19
epoch 5 [1600/1668], valid loss: 34.77
epoch 5 [1620/1668], valid loss: 33.94
epoch 5 [1640/1668], valid loss: 33.80
epoch 5 [1660/1668], valid loss: 34.31
Acc: tensor(0.7500)
epoch 6 [0/1668], valid loss: 34.46
epoch 6 [20/1668], valid loss: 34.86
epoch 6 [40/1668], valid loss: 35.11
epoch 6 [60/1668], valid loss: 35.08
epoch 6 [80/1668], valid loss: 34.83
epoch 6 [100/1668], valid loss: 34.31
epoch 6 [120/1668], valid loss: 34.01
epoch 6 [140/1668], valid loss: 34.22
epoch 6 [160/1668], valid loss: 34.44
epoch 6 [180/1668], valid loss: 34.44
epoch 6 [200/1668], valid loss: 34.42
epoch 6 [220/1668], valid loss: 33.21
epoch 6 [240/1668], valid loss: 32.80
epoch 6 [260/1668], valid loss: 33.15
epoch 6 [280/1668], valid loss: 33.05
epoch 6 [300/1668], valid loss: 33.35
epoch 6 [320/1668], valid loss: 33.70
epoch 6 [340/1668], valid loss: 33.77
epoch 6 [360/1668], valid loss: 33.91
epoch 6 [380/1668], valid loss: 33.76
epoch 6 [400/1668], valid loss: 33.68
epoch 6 [420/1668], valid loss: 33.22
epoch 6 [440/1668], valid loss: 33.13
epoch 6 [460/1668], valid loss: 32.84
epoch 6 [480/1668], valid loss: 33.36
epoch 6 [500/1668], valid loss: 33.83
epoch 6 [520/1668], valid loss: 33.82
epoch 6 [540/1668], valid loss: 33.81
epoch 6 [560/1668], valid loss: 34.15
epoch 6 [580/1668], valid loss: 33.55
epoch 6 [600/1668], valid loss: 32.26
epoch 6 [620/1668], valid loss: 32.36
epoch 6 [640/1668], valid loss: 32.66
epoch 6 [660/1668], valid loss: 32.84
